 schemaname |        tablename         |          attname          |     typname      | attnotnull 
 public     | tournaments              | region_id                 | int4             | t
 public     | tournaments              | created_by                | int4             | t
 public     | tournaments              | registration_start        | timestamptz      | t
 public     | tournaments              | registration_end          | timestamptz      | t
 public     | tournaments              | tournament_start          | timestamptz      | t
 public     | tournaments              | tournament_end            | timestamptz      | t
 public     | tournaments              | format                    | tournamentformat | t
 public     | tournaments              | max_participants          | int4             | t
 public     | tournaments              | team_size                 | int4             | f
 public     | tournaments              | min_rank                  | varchar          | f
 public     | tournaments              | max_rank                  | varchar          | f
 public     | tournaments              | status                    | tournamentstatus | t
 public     | tournaments              | registration_count        | int4             | t
 public     | tournaments              | logo_url                  | varchar          | f
 public     | tournaments              | banner_url                | varchar          | f
 public     | tournaments              | created_at                | timestamptz      | t
 public     | tournaments              | updated_at                | timestamptz      | t
 public     | user_roles               | id                        | int4             | t
 public     | user_roles               | user_id                   | int4             | t
 public     | user_roles               | role_id                   | int4             | t
 public     | user_roles               | region_id                 | int4             | f
 public     | user_roles               | granted_by_user_id        | int4             | f
 public     | user_roles               | is_active                 | bool             | t
 public     | user_roles               | expires_at                | timestamptz      | f
 public     | user_roles               | created_at                | timestamptz      | t
 public     | user_roles               | updated_at                | timestamptz      | t
 public     | user_roles               | granted_at                | timestamptz      | t
 public     | users                    | id                        | int4             | t
 public     | users                    | username                  | varchar          | t
 public     | users                    | email                     | varchar          | t
 public     | users                    | password_hash             | varchar          | t
 public     | users                    | is_active                 | bool             | t
 public     | users                    | is_verified               | bool             | t
 public     | users                    | created_at                | timestamptz      | t
 public     | users                    | updated_at                | timestamptz      | t
 public     | users                    | riot_summoner_name        | varchar          | f
 public     | users                    | last_login_at             | timestamptz      | f
(174 rows)

